widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2
1,Senator,6.0,3.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,4,10
2,Mathias,6.0,3.0,1.0,NNP,root,3.0,3.0,3.0,3.0,-2.0,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,2,2
3,",",,,,",",,,,,,,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,,
4,Chief,3.0,1.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,-2.0,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,1,12
5,Justice,6.0,2.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,1,40
6,Burger,4.0,2.0,1.0,NNP,appos,3.0,3.0,3.0,3.0,-2.0,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,1,1
7,",",,,,",",,,,,,,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,,
8,Vice,3.0,1.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,-2.0,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,1,15
9,President,9.0,3.0,2.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,3,47
10,Bush,3.0,1.0,1.0,NNP,appos,3.0,3.0,3.0,3.0,-2.0,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,1,6
11,",",,,,",",,,,,,,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,,
12,Speaker,5.0,2.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,1,8
13,O'Neill,4.0,2.0,1.0,NNP,appos,3.0,3.0,3.0,3.0,-2.0,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,1,2
14,",",,,,",",,,,,,,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,,
15,Senator,6.0,3.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,4,10
16,Dole,3.0,1.0,1.0,NNP,appos,3.0,3.0,3.0,3.0,-2.0,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,1,2
17,",",,,,",",,,,,,,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,,
18,reverend,7.0,3.0,1.0,JJ,amod,3.0,3.0,3.0,3.0,-2.0,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,1,4
19,clergy,5.0,2.0,1.0,NNS,appos,2.0,2.0,2.0,2.0,-1.0,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,1,3
20,",",,,,",",,,,,,,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,,
21,and,3.0,1.0,1.0,CC,cc,3.0,3.0,3.0,3.0,-2.0,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,114,1549
22,members,6.0,2.0,1.0,NNS,appos,2.0,2.0,2.0,2.0,-1.0,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,3,9
23,of,2.0,1.0,1.0,IN,case,3.0,3.0,2.0,3.0,-1.75,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,96,1691
24,my,2.0,1.0,1.0,PRP$,nmod:poss,4.0,4.0,4.0,4.0,-3.0,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,8,93
25,family,6.0,3.0,1.0,NN,nmod:of,3.0,3.0,3.0,3.0,-2.0,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,3,10
26,and,3.0,1.0,1.0,CC,cc,4.0,4.0,4.0,4.0,-3.0,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,114,1549
27,friends,6.0,1.0,1.0,NNS,nmod:of,2.0,2.0,2.0,2.0,-1.0,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,3,25
28,and,3.0,1.0,1.0,CC,cc,3.0,3.0,3.0,3.0,-2.0,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,114,1549
29,my,2.0,1.0,1.0,PRP$,nmod:poss,3.0,3.0,3.0,3.0,-2.0,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,8,93
30,fellow,4.0,2.0,1.0,JJ,amod,2.0,2.0,2.0,2.0,-1.0,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,3,46
31,citizens,8.0,3.0,1.0,NNS,nmod:of,1.0,1.0,1.0,1.0,0.0,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,6,58
32,:,,,,:,,,,,,,1,"Senator Mathias , Chief Justice Burger , Vice President Bush , Speaker O'Neill , Senator Dole , reverend clergy , and members of my family and friends and my fellow citizens :",1,1,,
1,This,3.0,1.0,1.0,DT,det,4.0,4.0,3.0,4.0,-2.75,2,"This day has been made brighter with the presence here of one who , for a time , has been absent .",9,9,18,323
2,day,2.0,1.0,1.0,NN,nsubjpass,2.0,2.0,2.0,2.0,-1.0,2,"This day has been made brighter with the presence here of one who , for a time , has been absent .",9,9,5,53
3,has,3.0,1.0,1.0,VBZ,aux,3.0,3.0,2.0,3.0,-1.75,2,"This day has been made brighter with the presence here of one who , for a time , has been absent .",9,9,11,149
4,been,3.0,1.0,1.0,VBN,auxpass,3.0,3.0,2.0,3.0,-1.75,2,"This day has been made brighter with the presence here of one who , for a time , has been absent .",9,9,4,75
5,made,3.0,1.0,1.0,VBN,root,2.0,2.0,2.0,2.0,-1.0,2,"This day has been made brighter with the presence here of one who , for a time , has been absent .",9,9,6,33
6,brighter,5.0,2.0,1.0,NN,dobj,2.0,2.0,2.0,2.0,-1.0,2,"This day has been made brighter with the presence here of one who , for a time , has been absent .",9,9,1,2
7,with,3.0,1.0,1.0,IN,case,3.0,3.0,2.0,3.0,-1.75,2,"This day has been made brighter with the presence here of one who , for a time , has been absent .",9,9,19,225
8,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,2,"This day has been made brighter with the presence here of one who , for a time , has been absent .",9,9,131,2261
9,presence,7.0,2.0,1.0,NN,nmod:with,2.0,2.0,2.0,2.0,-1.0,2,"This day has been made brighter with the presence here of one who , for a time , has been absent .",9,9,1,5
10,here,3.0,1.0,1.0,RB,advmod,3.0,3.0,3.0,3.0,-2.0,2,"This day has been made brighter with the presence here of one who , for a time , has been absent .",9,9,2,42
11,of,2.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,2,"This day has been made brighter with the presence here of one who , for a time , has been absent .",9,9,96,1691
12,one,3.0,1.0,1.0,CD,nmod:of,2.0,2.0,2.0,2.0,-1.0,2,"This day has been made brighter with the presence here of one who , for a time , has been absent .",9,9,14,90
13,who,2.0,1.0,1.0,WP,ref,4.0,4.0,2.0,4.0,-2.5,2,"This day has been made brighter with the presence here of one who , for a time , has been absent .",9,9,13,154
14,",",,,,",",,,,,,,2,"This day has been made brighter with the presence here of one who , for a time , has been absent .",9,9,,
15,for,3.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,2,"This day has been made brighter with the presence here of one who , for a time , has been absent .",9,9,35,447
16,a,1.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,2,"This day has been made brighter with the presence here of one who , for a time , has been absent .",9,9,59,789
17,time,3.0,1.0,1.0,NN,nmod:for,2.0,2.0,2.0,2.0,-1.0,2,"This day has been made brighter with the presence here of one who , for a time , has been absent .",9,9,10,112
18,",",,,,",",,,,,,,2,"This day has been made brighter with the presence here of one who , for a time , has been absent .",9,9,,
19,has,3.0,1.0,1.0,VBZ,aux,3.0,3.0,2.0,3.0,-1.75,2,"This day has been made brighter with the presence here of one who , for a time , has been absent .",9,9,11,149
20,been,3.0,1.0,1.0,VBN,cop,3.0,3.0,2.0,3.0,-1.75,2,"This day has been made brighter with the presence here of one who , for a time , has been absent .",9,9,4,75
21,absent,6.0,2.0,1.0,JJ,acl:relcl,1.0,1.0,1.0,1.0,0.0,2,"This day has been made brighter with the presence here of one who , for a time , has been absent .",9,9,1,1
22,.,,,,.,,,,,,,2,"This day has been made brighter with the presence here of one who , for a time , has been absent .",9,9,,
1,Senator,6.0,3.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,3,"Senator John Stennis , God bless you and welcome back .",1,1,4,10
2,John,3.0,1.0,1.0,NNP,nsubj,3.0,3.0,3.0,3.0,-2.0,3,"Senator John Stennis , God bless you and welcome back .",1,1,1,2
3,Stennis,6.0,2.0,1.0,VBZ,root,2.0,2.0,2.0,2.0,-1.0,3,"Senator John Stennis , God bless you and welcome back .",1,1,1,1
4,",",,,,",",,,,,,,3,"Senator John Stennis , God bless you and welcome back .",1,1,,
5,God,3.0,1.0,1.0,NNP,nsubj,2.0,2.0,2.0,2.0,-1.0,3,"Senator John Stennis , God bless you and welcome back .",1,1,8,65
6,bless,4.0,1.0,1.0,VB,ccomp,2.0,2.0,3.0,2.0,-1.25,3,"Senator John Stennis , God bless you and welcome back .",1,1,3,16
7,you,2.0,1.0,1.0,PRP,dobj,5.0,5.0,2.0,5.0,-3.25,3,"Senator John Stennis , God bless you and welcome back .",1,1,7,115
